Country,Sector,Direct Impact,Indirect Impact,Total Impact,Multiplier Type,Unit of Measure
USA,USA_H50,25.85208471,0.391917254,26.24400197,Employment Elasticity (Jobs per million USD output),Jobs per million USD
USA,USA_H51,9.785971028,0.924011937,10.70998296,Employment Elasticity (Jobs per million USD output),Jobs per million USD
USA,USA_H52,3.337976459,1.672132625,5.010109084,Employment Elasticity (Jobs per million USD output),Jobs per million USD
USA,USA_H53,5.960303189,1.067787212,7.0280904,Employment Elasticity (Jobs per million USD output),Jobs per million USD
USA,USA_I,1.181849952,38.08042954,39.26227949,Employment Elasticity (Jobs per million USD output),Jobs per million USD
USA,USA_J58T60,1.197641365,2.684696393,3.882337758,Employment Elasticity (Jobs per million USD output),Jobs per million USD
USA,USA_J61,1.620456382,2.485039728,4.10549611,Employment Elasticity (Jobs per million USD output),Jobs per million USD
USA,USA_J62_63,0.99864803,2.961867187,3.960515218,Employment Elasticity (Jobs per million USD output),Jobs per million USD
USA,USA_K,2.461106001,6.742375619,9.20348162,Employment Elasticity (Jobs per million USD output),Jobs per million USD
USA,USA_L,0.270490084,10.34471605,10.61520613,Employment Elasticity (Jobs per million USD output),Jobs per million USD
USA,USA_M,0.379497194,10.00955489,10.38905209,Employment Elasticity (Jobs per million USD output),Jobs per million USD
USA,USA_N,0.742132652,5.218410052,5.960542704,Employment Elasticity (Jobs per million USD output),Jobs per million USD
USA,USA_O,0.343574664,20.09761011,20.44118477,Employment Elasticity (Jobs per million USD output),Jobs per million USD
USA,USA_P,0.676236769,6.226979185,6.903215954,Employment Elasticity (Jobs per million USD output),Jobs per million USD
USA,USA_Q,0.400324263,9.802942408,10.20326667,Employment Elasticity (Jobs per million USD output),Jobs per million USD
USA,USA_R,4.445183333,2.167918012,6.613101345,Employment Elasticity (Jobs per million USD output),Jobs per million USD
USA,USA_S,2.124776659,3.430442649,5.555219308,Employment Elasticity (Jobs per million USD output),Jobs per million USD
USA,USA_T,44.50061411,0,44.50061411,Employment Elasticity (Jobs per million USD output),Jobs per million USD
USA,USA_A01_02,429486.3386,357745.3753,787231.7138,Value-Added Share (USD per million USD output),USD per million USD
USA,USA_A03,872851.7896,4257.510795,877109.3004,Value-Added Share (USD per million USD output),USD per million USD
USA,USA_B05_06,495788.4843,225146.9114,720935.3957,Value-Added Share (USD per million USD output),USD per million USD
USA,USA_B07_08,540275.6142,74067.28307,614342.8972,Value-Added Share (USD per million USD output),USD per million USD
USA,USA_B09,554611.1255,33972.38621,588583.5117,Value-Added Share (USD per million USD output),USD per million USD
USA,USA_C10T12,306448.5198,1077205.328,1383653.848,Value-Added Share (USD per million USD output),USD per million USD
USA,USA_C13T15,413399.7317,56580.46597,469980.1977,Value-Added Share (USD per million USD output),USD per million USD
USA,USA_C16,390097.3803,159879.2684,549976.6487,Value-Added Share (USD per million USD output),USD per million USD
USA,USA_C17_18,410510.7901,241731.7801,652242.5702,Value-Added Share (USD per million USD output),USD per million USD
USA,USA_C19,257169.2157,367913.1146,625082.3304,Value-Added Share (USD per million USD output),USD per million USD
USA,USA_C20,464857.9325,337319.3714,802177.3039,Value-Added Share (USD per million USD output),USD per million USD
USA,USA_C21,711730.1055,116731.2677,828461.3732,Value-Added Share (USD per million USD output),USD per million USD
USA,USA_C22,365312.7924,208698.5016,574011.2941,Value-Added Share (USD per million USD output),USD per million USD
USA,USA_C23,465692.5389,188499.2463,654191.7852,Value-Added Share (USD per million USD output),USD per million USD
USA,USA_C24,347062.171,308085.7332,655147.9043,Value-Added Share (USD per million USD output),USD per million USD
USA,USA_C25,438003.7688,322118.8715,760122.6403,Value-Added Share (USD per million USD output),USD per million USD
USA,USA_C26,763929.8568,108362.8089,872292.6657,Value-Added Share (USD per million USD output),USD per million USD
USA,USA_C27,541704.1487,100935.574,642639.7226,Value-Added Share (USD per million USD output),USD per million USD
USA,USA_C28,499058.6853,261179.4192,760238.1045,Value-Added Share (USD per million USD output),USD per million USD
USA,USA_C29,267240.3062,572226.138,839466.4442,Value-Added Share (USD per million USD output),USD per million USD
USA,USA_C30,600797.3095,196218.3448,797015.6544,Value-Added Share (USD per million USD output),USD per million USD
USA,USA_C31T33,583426.1656,168691.3617,752117.5272,Value-Added Share (USD per million USD output),USD per million USD
USA,USA_D,644639.2076,233763.7763,878402.9839,Value-Added Share (USD per million USD output),USD per million USD
USA,USA_E,560795.8078,90657.31702,651453.1248,Value-Added Share (USD per million USD output),USD per million USD
USA,USA_F,531153.7383,1519589.971,2050743.709,Value-Added Share (USD per million USD output),USD per million USD
USA,USA_G,573095.9104,1747218.086,2320313.996,Value-Added Share (USD per million USD output),USD per million USD
USA,USA_H49,513342.0572,474381.634,987723.6912,Value-Added Share (USD per million USD output),USD per million USD
USA,USA_H50,286834.0503,37120.78605,323954.8363,Value-Added Share (USD per million USD output),USD per million USD
USA,USA_H51,484757.8608,67815.04462,552572.9054,Value-Added Share (USD per million USD output),USD per million USD
USA,USA_H52,522961.1056,190841.7808,713802.8864,Value-Added Share (USD per million USD output),USD per million USD
USA,USA_H53,670683.1163,91294.69718,761977.8135,Value-Added Share (USD per million USD output),USD per million USD
USA,USA_I,529825.8154,518160.6346,1047986.45,Value-Added Share (USD per million USD output),USD per million USD
USA,USA_J58T60,614840.3334,360628.4014,975468.7348,Value-Added Share (USD per million USD output),USD per million USD
USA,USA_J61,533248.7671,323383.677,856632.4442,Value-Added Share (USD per million USD output),USD per million USD
USA,USA_J62_63,665023.4912,351615.4215,1016638.913,Value-Added Share (USD per million USD output),USD per million USD
USA,USA_K,563669.1868,857441.5851,1421110.772,Value-Added Share (USD per million USD output),USD per million USD
USA,USA_L,700517.7613,1013783.937,1714301.698,Value-Added Share (USD per million USD output),USD per million USD
USA,USA_M,629413.5524,965677.5218,1595091.074,Value-Added Share (USD per million USD output),USD per million USD
USA,USA_N,592389.1328,540118.9039,1132508.037,Value-Added Share (USD per million USD output),USD per million USD
USA,USA_O,627085.262,1349244.335,1976329.597,Value-Added Share (USD per million USD output),USD per million USD
USA,USA_P,763923.7827,425531.5087,1189455.291,Value-Added Share (USD per million USD output),USD per million USD
USA,USA_Q,643169.6074,855196.9078,1498366.515,Value-Added Share (USD per million USD output),USD per million USD
USA,USA_R,649732.8889,102366.0109,752098.8999,Value-Added Share (USD per million USD output),USD per million USD
USA,USA_S,574763.3477,211835.8799,786599.2276,Value-Added Share (USD per million USD output),USD per million USD
USA,USA_T,1000000,0,1000000,Value-Added Share (USD per million USD output),USD per million USD
USA,USA_A01_02,4229.069091,5873.937618,10103.00671,Tax Revenue Share (USD per million USD output),USD per million USD
USA,USA_A03,4544.084076,28.28118835,4572.365265,Tax Revenue Share (USD per million USD output),USD per million USD
USA,USA_B05_06,6910.909293,4153.477337,11064.38663,Tax Revenue Share (USD per million USD output),USD per million USD
USA,USA_B07_08,10377.50587,1430.63784,11808.14371,Tax Revenue Share (USD per million USD output),USD per million USD
USA,USA_B09,10176.88514,664.9692529,10841.8544,Tax Revenue Share (USD per million USD output),USD per million USD
USA,USA_C10T12,5072.839634,15607.43026,20680.2699,Tax Revenue Share (USD per million USD output),USD per million USD
